2023-04-26 16:26:28,402 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:13
2023-04-26 16:26:28,402 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:28] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:33,930 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:33,930 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 0b1e8a1d-0bc9-4dfc-9ad9-9ce2aea24ef1
2023-04-26 16:26:33,930 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:14
2023-04-26 16:26:33,931 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:33] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:37,670 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:37,670 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 277dddf7-cc9e-4491-a89e-eb9f1039089a
2023-04-26 16:26:37,670 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:15
2023-04-26 16:26:37,671 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:37] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:43,346 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:43,346 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 073fd88e-586c-481f-9284-86a78fccc429
2023-04-26 16:26:43,346 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:16
2023-04-26 16:26:43,346 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:43] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:48,324 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:48,324 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 5f73f40e-700c-40a6-a816-b224dc8864df
2023-04-26 16:26:48,325 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:17
2023-04-26 16:26:48,325 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:48] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:26:54,575 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:26:54,575 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id fa730f32-b607-447b-a73c-ebfadf5a5df6
2023-04-26 16:26:54,575 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:18
2023-04-26 16:26:54,575 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:26:54] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:00,890 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:00,892 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 959da52e-4e3c-4d38-bd86-5bccf2facbe4
2023-04-26 16:27:00,892 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:19
2023-04-26 16:27:00,893 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:00] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:06,538 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:06,539 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 73a9b37a-8b53-43f4-8dec-306f824bd765
2023-04-26 16:27:06,539 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:20
2023-04-26 16:27:06,539 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:06] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:10,386 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:10,386 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 783752be-9a1b-4da6-9684-4a53e90bab8f
2023-04-26 16:27:10,386 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:21
2023-04-26 16:27:10,387 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:10] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:14,009 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:14,010 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 4d7d9a13-9564-4093-a068-7390190ab769
2023-04-26 16:27:14,010 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:22
2023-04-26 16:27:14,011 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:14] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:19,508 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:27:19,510 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id e3ccb736-5bb5-4001-bf12-62df7c64e006
2023-04-26 16:27:19,510 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:23
2023-04-26 16:27:19,511 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:27:19] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:27:26,556 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
