2023-04-26 16:01:05,074 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:12
2023-04-26 16:01:05,075 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:05] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:07,395 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:07,396 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id e2df1a9b-6462-4e8a-ba68-dbff18817ea5
2023-04-26 16:01:07,396 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:13
2023-04-26 16:01:07,398 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:07] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:09,700 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:09,701 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 0b1e8a1d-0bc9-4dfc-9ad9-9ce2aea24ef1
2023-04-26 16:01:09,701 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:14
2023-04-26 16:01:09,702 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:09] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:12,008 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:12,009 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 277dddf7-cc9e-4491-a89e-eb9f1039089a
2023-04-26 16:01:12,009 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:15
2023-04-26 16:01:12,010 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:12] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:14,318 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:14,320 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 073fd88e-586c-481f-9284-86a78fccc429
2023-04-26 16:01:14,320 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:16
2023-04-26 16:01:14,321 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 16:01:14] "POST /6 HTTP/1.1" 200 -
2023-04-26 16:01:16,639 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 16:01:16,639 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 5f73f40e-700c-40a6-a816-b224dc8864df
