2023-04-19 04:26:09,706 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:174: The name tf.get_default_session is deprecated. Please use tf.compat.v1.get_default_session instead.

2023-04-19 04:26:09,707 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:181: The name tf.ConfigProto is deprecated. Please use tf.compat.v1.ConfigProto instead.

2023-04-19 04:26:09,708 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:190: The name tf.global_variables is deprecated. Please use tf.compat.v1.global_variables instead.

2023-04-19 04:26:09,708 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:199: The name tf.is_variable_initialized is deprecated. Please use tf.compat.v1.is_variable_initialized instead.

2023-04-19 04:26:09,720 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:206: The name tf.variables_initializer is deprecated. Please use tf.compat.v1.variables_initializer instead.

2023-04-19 04:26:09,751 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/optimizers.py:790: The name tf.train.Optimizer is deprecated. Please use tf.compat.v1.train.Optimizer instead.

2023-04-19 04:26:09,754 | 1.1.0 | WARNING | tensorflow                                    | From /home/trevormaxjs/Documents/Engineering/Research/venv/lib/python3.6/site-packages/keras/backend/tensorflow_backend.py:3295: The name tf.log is deprecated. Please use tf.math.log instead.

2023-04-19 04:26:09,763 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | RestSender initialized
2023-04-19 04:26:09,764 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Receiver Initialized
2023-04-19 04:26:09,764 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Initializing Flask application
2023-04-19 04:26:09,766 | 1.1.0 | INFO | ibmfl.party.party                             | Party initialization successful
2023-04-19 04:26:09,766 | 1.1.0 | INFO | ibmfl.party.party                             | Party start successful
2023-04-19 04:26:09,766 | 1.1.0 | INFO | ibmfl.party.party                             | Registering party...
2023-04-19 04:26:09,769 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-19 04:26:09,769 | 1.1.0 | INFO | werkzeug                                      |  * Running on http://127.0.0.1:8086/ (Press CTRL+C to quit)
2023-04-19 04:26:09,769 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 3975183a-8692-4b08-b4c6-182c443a882a
2023-04-19 04:26:09,769 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:2
2023-04-19 04:26:09,769 | 1.1.0 | INFO | werkzeug                                      | 127.0.0.1 - - [19/Apr/2023 04:26:09] "POST /6 HTTP/1.1" 200 -
2023-04-19 04:26:09,770 | 1.1.0 | INFO | ibmfl.party.party                             | Registration Successful
2023-04-19 04:26:10,289 | 1.1.0 | INFO | ibmfl.util.config                             | Getting config from file
