2023-04-26 15:32:51,262 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 15:32:51] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:53,668 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:53,668 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 0b1e8a1d-0bc9-4dfc-9ad9-9ce2aea24ef1
2023-04-26 15:32:53,668 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:14
2023-04-26 15:32:53,669 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 15:32:53] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:56,018 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:56,019 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 277dddf7-cc9e-4491-a89e-eb9f1039089a
2023-04-26 15:32:56,019 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:15
2023-04-26 15:32:56,020 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 15:32:56] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:32:58,315 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:32:58,316 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 073fd88e-586c-481f-9284-86a78fccc429
2023-04-26 15:32:58,316 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:16
2023-04-26 15:32:58,316 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 15:32:58] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:33:00,633 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:33:00,634 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id 5f73f40e-700c-40a6-a816-b224dc8864df
2023-04-26 15:33:00,635 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:17
2023-04-26 15:33:00,636 | 1.1.0 | INFO | werkzeug                                      | 192.168.1.167 - - [26/Apr/2023 15:33:00] "POST /6 HTTP/1.1" 200 -
2023-04-26 15:33:02,928 | 1.1.0 | INFO | ibmfl.connection.flask_connection             | Request received for path :6
2023-04-26 15:33:02,929 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Adding party with id fa730f32-b607-447b-a73c-ebfadf5a5df6
2023-04-26 15:33:02,929 | 1.1.0 | INFO | ibmfl.aggregator.protohandler.proto_handler   | Total number of registered parties:18
